Header,Description
Id, Id of file
Name, Name of file
Variant, Variant of file
SKU, id-name-Variant
Time, Duration of prited part in minutes
Wiegth, Wiegth of printed part in gr
Kind, Filament Kind
Cost, Cost of printed part
Cost Wholesaler, Cost of printed part Wholesaler
Tienda Nube, Price in Tienda Nube
Mercado Libre, Price in Mercado Libre
Wholesaler, Price in Wholesaler
Height, Height Of printed part
Width,  Width of printed part
Depth, Depth of printed part
Description, Description of Product
Description Tienda Nube, Description & Tienda Nube Description
Description Mercado Libre, Description & Mercado Libre Description
Path, Path of .3mf file
Printer, Printer Compatibility
Filament, Filament Compatibility
Profile, Printed Profile
