Name,Minutes,Hs,Gr,Cm3,Kind,Date
Lapicero Twister 12,64,1:04:00,19.85,16.01,PLA,2021-01-20
Monte Sharp,228,3:48:00,87.67,70.7,PLA,2021-01-20
Stand Celular Curly,108,1:48:00,46.68,37.64,PLA,2021-01-20
Stand Celular Larry,121,2:01:00,53.31,42.99,PLA,2021-01-20
Stand Celular Moe,129,2:09:00,54.93,44.3,PLA,2021-01-20

Lapicero Twister 12,64,1:04:00,19.85,16.01,PLA,2021-01-20
Monte Sharp,8,0:08:00,87.67,70.7,PLA,2021-01-20
Stand Celular Curly,6,0:06:00,46.68,37.64,PLA,2021-01-20
Stand Celular Larry,6,0:06:00,53.31,42.99,PLA,2021-01-20
Stand Celular Moe,7,0:07:00,54.93,44.3,PLA,2021-01-20
